cod_ine,n_paradas_emt,n_lineas_emt_unicas,n_bocas_metro,n_lineas_metro_unicas,n_comercios,n_monumentos,pct_area_turistica
4625012012,0,0,0,0,4,1,0.0
4625012013,0,0,0,0,7,0,0.0126852553294764
4625012014,0,0,0,0,1,0,0.0
4625012015,0,0,0,0,7,0,0.0
4625012016,1,2,0,0,3,0,0.0
4625012018,2,2,0,0,5,0,0.0
4625012019,1,1,0,0,4,0,0.0
4625012020,0,0,0,0,1,0,0.0
4625012021,0,0,0,0,2,1,0.0
4625012023,2,3,0,0,9,0,0.0
4625012024,1,2,0,0,13,0,0.0
4625012025,3,1,0,0,0,0,13.09193051680194
4625012026,0,0,0,0,4,0,0.0
4625012027,1,1,0,0,3,0,0.0
4625012028,3,4,0,0,18,0,0.0
4625012029,1,1,0,0,4,0,7.319601545667958
4625012030,0,0,0,0,9,0,8.243724436660111
4625012031,0,0,0,0,5,0,0.0
4625012032,2,3,0,0,1,0,0.0
4625012033,4,6,0,0,6,0,0.0
4625012034,2,3,0,0,8,0,0.0
4625012035,0,0,0,0,1,0,0.0
4625012036,0,0,0,0,0,0,0.4241039128002133
4625012037,5,3,0,0,6,0,35.092279686044314
4625012038,1,1,0,0,9,0,0.0
4625012039,0,0,0,0,7,0,0.0
4625012040,2,5,0,0,10,0,10.209015588397929
4625012041,6,4,0,0,13,0,25.738193225973287
4625012042,3,4,0,0,2,0,0.0
4625012043,2,3,2,4,2,0,9.538608324248962
4625012044,1,2,0,0,7,0,0.0
4625012045,4,5,0,0,7,0,8.760134289041737
4625012046,5,4,0,0,9,0,32.172044754541645
4625012047,6,5,0,0,17,0,12.934081563163168
4625012048,1,1,0,0,14,0,18.61468277579331
4625013001,3,3,0,0,5,1,0.0
4625013002,1,3,0,0,8,0,0.0
4625013003,0,0,0,0,1,0,0.0
4625013004,1,3,0,0,4,0,17.72768011926934
4625013005,0,0,0,0,3,0,0.0
4625013007,2,3,0,0,2,0,0.0
4625013008,1,2,0,0,9,0,16.49146282569356
4625013009,0,0,0,0,8,0,6.765153091870267
4625013010,1,1,0,0,1,0,0.0
4625013011,1,3,0,0,7,0,5.915101234765947
4625013012,1,3,0,0,9,0,9.13184182515284
4625013013,2,5,0,0,21,0,4.967891061861624
4625013014,1,3,0,0,19,0,15.33963277461949
4625013015,2,7,0,0,11,0,0.0
4625013016,2,3,0,0,2,0,0.0
4625013017,0,0,0,0,2,0,7.723725184676644
4625013019,2,3,2,2,6,0,0.0
4625013020,0,0,0,0,1,0,7.169628266326081
4625013021,2,6,0,0,14,0,3.7198745455039033
4625013022,2,6,0,0,7,1,3.045758825751938
4625013023,0,0,0,0,13,0,2.506394013544817
4625013024,3,6,0,0,14,0,3.389613378744621
4625013025,15,6,3,2,34,0,4.029661081623718
4625013026,0,0,0,0,4,0,0.0
4625013027,1,3,0,0,10,0,3.536919976310793
4625013028,2,3,0,0,2,0,1.963656370993318
4625013029,0,0,0,0,5,0,1.601563513546226
4625013030,1,1,0,0,2,0,0.0
4625014001,3,1,1,2,21,0,12.855218533001883
4625014002,1,2,2,4,33,0,0.0
4625014004,0,0,0,0,5,0,0.0
4625014005,1,1,0,0,13,0,0.0
4625014006,2,1,0,0,6,0,0.0
4625014007,0,0,0,0,32,0,0.0
4625014008,1,1,0,0,9,0,0.0
4625014009,1,2,0,0,11,1,0.0
4625014010,2,2,1,4,27,0,0.0
4625014012,1,2,1,4,22,0,0.0
4625014013,1,2,0,0,2,0,0.0
4625014014,0,0,1,1,2,0,2.902442091663996
4625014015,1,3,0,0,5,0,0.0
4625014016,1,2,0,0,14,0,0.0
4625014018,0,0,0,0,5,0,0.0
4625014019,0,0,2,2,1,0,0.0
4625014020,0,0,0,0,3,0,0.2424905757677917
4625014021,2,2,0,0,4,0,0.0
4625014022,0,0,0,0,3,0,0.0
4625014023,2,3,0,0,3,0,0.0
4625014024,1,2,0,0,3,0,8.813386546867426
4625015001,1,2,0,0,0,0,0.0
4625015002,1,3,0,0,0,0,3.091757610537665
4625015003,1,3,0,0,0,0,9.262674646902962
4625015004,2,1,0,0,0,0,3.261194390082352
4625015005,1,1,0,0,1,0,0.0
4625015006,2,1,1,1,0,0,3.524101595186006
4625015007,0,0,0,0,0,0,0.0
4625015008,1,1,0,0,0,0,16.487331892045116
4625015010,2,3,0,0,1,0,0.0
4625015011,0,0,0,0,1,0,0.0
4625015012,3,3,0,0,1,0,2.023841453223827
4625015013,4,3,1,1,1,1,21.46538315526287
4625015014,1,1,0,0,1,0,0.0
4625015015,0,0,0,0,1,0,0.0
4625015016,3,3,0,0,0,0,4.055071277591325
