cod_ine,id_candidato,dist_m
4625001002.0,J2V_0321,1117.0
4625001002.0,J2E_0227,1133.15
4625001002.0,J2E_0561,1134.06
4625001002.0,J2E_0529,1139.22
4625001002.0,J1_0053,1141.55
4625001002.0,J2E_0002,1143.23
4625001002.0,J2V_0311,1146.67
4625001002.0,J2E_0456,1150.0
4625001002.0,J2E_0643,1169.52
4625001002.0,J2E_0465,1169.94
4625001002.0,J2E_0224,1185.33
4625001002.0,J2E_0264,1221.06
4625001002.0,J1_0049,1223.0
4625001002.0,J2E_0555,1246.53
4625001002.0,J2E_0513,1264.48
4625001002.0,J2E_0750,1270.68
4625001002.0,J2V_0294,1288.72
4625001002.0,J2E_0552,1296.44
4625001002.0,J2E_0568,1307.91
4625001002.0,J2E_0162,1312.63
4625001002.0,J2E_0460,1325.82
4625001002.0,J2V_0322,1332.16
4625001002.0,J2E_0342,1333.62
4625001002.0,J2E_0751,1334.86
4625001002.0,J2E_0346,1337.99
4625001002.0,J2E_0553,1340.19
4625001002.0,J2V_0325,1343.09
4625001002.0,J2V_0194,1344.82
4625001002.0,J2E_0461,1358.68
4625001002.0,J2E_0365,1362.05
4625001002.0,J2V_0219,1362.05
4625001002.0,J2V_0205,1368.55
4625001002.0,J1_0013,1371.85
4625001002.0,J2E_0726,1372.12
4625001002.0,J2E_0727,1375.03
4625001002.0,J2E_0291,1375.15
4625001002.0,J2E_0752,1377.0
4625001002.0,J2V_0202,1381.16
4625001002.0,J2E_0223,1386.75
4625001002.0,J2E_0290,1395.99
4625001002.0,J2V_0291,1406.0
4625001002.0,J2E_0361,1420.41
4625001002.0,J1_0043,1425.35
4625001002.0,J1_0107,1430.82
4625001002.0,J2E_0199,1448.19
4625001002.0,J1_0132,1449.94
4625001002.0,J1_0032,1456.39
4625001002.0,J2E_0459,1467.87
4625001002.0,J2E_0345,1470.8
4625001002.0,J2E_0036,1472.45
4625001002.0,J2E_0080,1480.44
