cod_ine,coddistrit,pct_65mas_norm,renta_pc_norm,suhi_ref_norm,ndvi_ref_norm,HVI,HVI_quintil
4625004025,04,0.373264,0.612826,0.728044,0.396762,0.527724,Q1 muy bajo
4625004026,04,0.141398,0.53258,0.706323,0.464222,0.461131,Q1 muy bajo
4625004027,04,0.192519,0.572886,0.753608,0.626755,0.536442,Q1 muy bajo
4625004028,04,0.375988,0.547965,0.907937,0.684249,0.629035,Q2 bajo
4625004029,04,0.251923,0.557634,0.761294,0.620087,0.547734,Q1 muy bajo
4625004030,04,0.082377,0.492407,0.764493,0.636356,0.493908,Q1 muy bajo
4625005001,05,0.688824,0.647616,0.755595,0.649359,0.685348,Q3 medio
4625005002,05,0.445228,0.833361,0.68428,0.626849,0.64743,Q2 bajo
4625005003,05,0.46382,0.848879,0.762006,0.809539,0.721061,Q4 alto
4625005004,05,0.484122,0.808739,0.802948,0.803165,0.724744,Q4 alto
4625005005,05,0.475653,0.8209,0.773377,0.664328,0.683564,Q3 medio
4625005006,05,0.652744,0.739591,0.845555,0.882064,0.779988,Q5 muy alto
4625005007,05,0.52964,0.732181,0.811223,0.764401,0.709361,Q3 medio
4625005008,05,0.652913,0.706097,0.752142,0.811235,0.730597,Q4 alto
4625005009,05,0.548102,0.854959,0.646722,0.497091,0.636719,Q2 bajo
4625005010,05,0.662919,0.622628,0.676053,0.561798,0.63085,Q2 bajo
4625005011,05,0.398581,0.706496,0.780015,0.591026,0.61903,Q1 muy bajo
4625005013,05,0.517982,0.69892,0.737333,0.862148,0.704096,Q3 medio
4625005014,05,0.325712,0.795016,0.728654,0.788611,0.659498,Q2 bajo
4625005015,05,0.363792,0.732979,0.694377,0.721155,0.628076,Q2 bajo
4625005016,05,0.444061,0.712577,0.733058,0.845752,0.683862,Q3 medio
4625005017,05,1.0,0.682771,0.70894,0.636363,0.757018,Q5 muy alto
4625005018,05,0.521098,0.718192,0.681191,0.716125,0.659152,Q2 bajo
4625005021,05,0.408717,0.748164,0.776555,0.83035,0.690946,Q3 medio
4625005022,05,0.533044,0.717727,0.708029,0.72084,0.66991,Q2 bajo
4625005025,05,0.520941,0.655491,0.569393,0.360381,0.526552,Q1 muy bajo
4625005027,05,0.531481,0.670377,0.736716,0.799337,0.684478,Q3 medio
4625005028,05,0.548126,0.52949,0.728962,0.630484,0.609266,Q1 muy bajo
4625005029,05,0.470322,0.820136,0.733778,0.736267,0.690126,Q3 medio
4625005031,05,0.192926,0.811264,0.828855,0.801593,0.65866,Q2 bajo
4625005033,05,0.451674,0.768068,0.867653,0.87603,0.740856,Q5 muy alto
4625005034,05,0.308247,0.902542,0.756745,0.75511,0.680661,Q3 medio
4625005036,05,0.427788,0.844725,0.831012,0.688586,0.698028,Q3 medio
4625005037,05,0.471705,0.686626,0.749067,0.850016,0.689354,Q3 medio
4625005038,05,0.500687,0.650673,0.77026,0.818951,0.685143,Q3 medio
4625005039,05,0.528417,0.713673,0.764068,0.78754,0.698424,Q3 medio
4625005040,05,0.507739,0.666124,0.758177,0.843615,0.693914,Q3 medio
4625005041,05,0.390319,0.623226,0.761664,0.899322,0.668633,Q2 bajo
4625005042,05,0.453873,0.725436,0.844027,0.890943,0.72857,Q4 alto
4625005043,05,0.330131,0.708922,0.82458,0.915009,0.69466,Q3 medio
4625005044,05,0.512251,0.725735,0.744443,0.867459,0.712472,Q4 alto
4625006001,06,0.532615,0.316631,0.629077,0.442923,0.480312,Q1 muy bajo
4625006002,06,0.631519,0.388702,0.705871,0.660816,0.596727,Q1 muy bajo
4625006003,06,0.399956,0.394252,0.762979,0.801595,0.589695,Q1 muy bajo
4625006004,06,0.491829,0.500847,0.658456,0.526842,0.544494,Q1 muy bajo
4625006006,06,0.684766,0.0,0.546172,0.386413,0.404338,Q1 muy bajo
4625006007,06,0.417423,0.341552,0.724112,0.669643,0.538182,Q1 muy bajo
4625006008,06,0.593892,0.467254,0.697048,0.659648,0.604461,Q1 muy bajo
4625006009,06,0.435387,0.742914,0.805044,0.914919,0.724566,Q4 alto
4625006011,06,0.319643,0.777338,0.783186,0.815196,0.673841,Q2 bajo
4625006012,06,0.475795,0.478053,0.652681,0.587981,0.548628,Q1 muy bajo
4625006013,06,0.447042,0.542947,0.764808,0.791755,0.636638,Q2 bajo
4625006014,06,0.473456,0.454029,0.772048,0.687506,0.59676,Q1 muy bajo
4625006015,06,0.455735,0.488154,0.748964,0.732222,0.606269,Q1 muy bajo
