cod_ine,pct_65mas_2023,pct_65mas_2024,pct_65mas_2025
4625012026,22.8261,21.7576,22.0411
4625012027,16.4546,16.1741,15.748
4625012028,26.0248,26.6915,26.7284
4625012029,18.1399,17.6428,17.2511
4625012030,21.5739,21.07,20.7933
4625012031,18.586,19.0095,19.0206
4625012032,21.4588,21.9828,21.9289
4625012033,24.7438,25.5983,25.0532
4625012034,17.8744,18.1559,16.8653
4625012035,22.1007,22.3769,22.9645
4625012036,20.5231,20.6667,22.0938
4625012037,16.334,16.5083,16.9047
4625012038,15.9733,16.6753,18.3143
4625012039,25.7823,26.2525,28.0164
4625012040,14.6659,15.0169,16.1218
4625012041,13.7263,14.4421,14.5559
4625012042,11.3144,11.8633,13.0697
4625012043,29.9479,29.7458,28.7967
4625012044,16.8996,17.6359,19.6417
4625012045,10.0246,10.0096,10.5664
4625012046,11.7277,11.5116,12.1039
4625012047,22.0779,21.4689,20.9817
4625012048,12.5533,13.6525,13.31
4625013001,22.8496,22.943,23.1253
4625013002,29.6148,29.4351,29.8918
4625013003,27.2271,28.7706,30.4516
4625013004,22.0513,20.5446,19.2982
4625013005,22.7459,23.9369,24.9142
4625013007,26.4108,25.4727,24.2623
4625013008,30.4797,30.5882,31.1988
4625013009,26.8689,25.285,25.5615
4625013010,32.8967,33.6053,34.6381
4625013011,35.0592,35.6936,34.5609
4625013012,27.6923,28.4156,28.3368
4625013013,30.9156,31.1111,31.8025
4625013014,25.6856,25.7031,25.4735
4625013015,27.9798,26.2537,26.087
4625013016,12.4072,12.8831,12.7366
4625013017,24.9245,25.0,24.782
4625013019,28.907,29.2017,29.5643
4625013020,28.8326,28.7278,28.5525
4625013021,35.4869,35.1376,35.2941
4625013022,25.7118,26.9595,27.7311
4625013023,23.6306,24.6358,24.5932
4625013024,25.5266,25.5293,24.7224
4625013025,25.1435,26.6423,27.268
4625013026,27.9003,28.5852,29.2352
4625013027,23.8715,24.8588,24.1779
4625013028,23.9227,24.6821,25.7353
4625013029,36.2353,35.7392,35.9954
4625013030,26.7183,27.1251,27.3934
4625014001,28.7895,30.311,31.0937
4625014002,25.8292,24.7738,23.2476
4625014004,29.5355,30.0862,30.3109
4625014005,22.0464,22.1748,21.7166
4625014006,20.6049,19.7305,18.7556
4625014007,18.1911,17.0088,16.8462
4625014008,19.9396,20.8333,20.5617
4625014009,21.6653,21.5654,21.4749
4625014010,24.6244,23.6538,23.1458
4625014012,19.5289,19.9015,20.2346
4625014013,21.3115,21.6565,21.5541
4625014014,25.8853,24.9589,25.3982
4625014015,19.8966,19.2668,19.5062
4625014016,22.1494,21.9432,22.1643
4625014018,30.819,30.9524,31.01
4625014019,19.9643,21.2157,22.5369
4625014020,24.1141,25.2273,25.4306
4625014021,23.1563,24.0658,24.6657
4625014022,25.6018,26.6809,27.5751
4625014023,25.6059,24.7156,24.5399
4625014024,23.4146,24.8204,26.6291
4625015001,15.9269,14.3908,14.0845
4625015002,18.0723,17.6638,17.179
4625015003,23.6301,23.9531,23.336
4625015004,21.7306,21.0628,20.6604
4625015005,13.6252,12.9608,12.1061
4625015006,18.682,17.7108,17.4201
4625015007,13.7327,13.3636,12.1008
4625015008,10.6367,10.3569,8.9895
4625015010,13.7511,13.6435,12.5278
4625015011,16.1806,13.8843,12.5767
4625015012,17.1214,16.7325,16.199
4625015013,22.5203,22.7309,23.2184
4625015014,20.6657,20.8497,20.8601
4625015015,18.6453,18.8482,17.1742
4625015016,18.0225,17.1394,17.4094
4625015017,17.8119,18.0858,17.3283
4625015018,28.8832,28.2435,28.3611
4625015019,26.3663,26.3158,25.3035
4625015020,20.3849,19.5897,18.2919
4625015021,19.6758,19.385,19.6911
4625015022,16.7031,15.1031,14.6641
4625015023,24.2894,24.4641,24.7014
4625015024,22.4897,22.6051,23.951
4625015025,17.3529,16.7252,16.0396
4625015026,13.9186,13.5431,12.9947
4625015027,16.129,16.172,15.9242
4625015028,10.5168,10.9694,11.9869
4625015029,26.0338,27.958,30.0759
4625015030,27.1068,27.2871,28.1823
4625015031,26.5641,28.2631,29.2608
4625015032,19.2744,18.3847,18.1256
4625015033,19.3524,20.5771,20.9531
4625015034,11.2069,11.7711,12.131
4625015035,10.8924,10.2497,10.9162
4625015036,20.6777,20.5584,20.9704
4625015037,15.8482,15.5698,16.6126
4625015038,7.7692,8.3408,9.0393
4625015039,20.3747,20.0927,19.5636
4625015040,8.0027,8.8525,9.1618
4625016001,22.2874,22.0189,22.2354
4625016002,21.7827,21.1886,20.9702
4625016003,20.555,20.7739,20.6285
4625016004,15.0617,15.5213,15.8076
4625016005,17.9268,17.7059,17.6271
4625016006,21.4441,20.8893,19.9113
4625016008,15.177,15.2425,15.3537
